	, 1	, 2	, 3	, 4	, 5
10^2, 136, 127, 141, 131, 126
10^3, 167, 143, 147, 140, 146
10^4, 254, 252, 253, 253, 255
10^5, 1656, 1669, 1673, 1702, 1671
10^6, 14378, 15007, 15017, 14977, 15738
10^7, 135963, 150853, 135801, 143265, 153833
10^8, 1515653, 1363380, 1409022, 1397496, 1430213
10^9, 13568218, 13361771, 13530002, 13495157, 13688096
10^10, 133652304, 134022003, 133904506, 133340383, 133718315
10^11, TIMED OUT
10^12, TIMED OUT
