	, 1	, 2	, 3	, 4	, 5
10^2, 170, 172, 184, 200, 182
10^3, 224, 193, 195, 237, 185
10^4, 349, 293, 306, 291, 310
10^5, 1770, 1700, 1700, 1704, 1480
10^6, 13495, 15599, 13248, 13735, 13220
10^7, 129743, 136448, 130435, 134385, 136975
10^8, 1331668, 1278803, 1325363, 1352629, 1328453
10^9, 13509233, 13417546, 13322456, 13235895, 13363284
10^10, 133742811, 134047003, 134292618, 134440907, 133438725
10^11, 1337651947, 1336530016, 1341097789, 1335527054, 1340819032
10^12, TIMED OUT
