	, 1	, 2	, 3	, 4	, 5
10^2, 89, 92, 89, 105, 103
10^3, 117, 109, 109, 119, 127
10^4, 385, 325, 330, 324, 328
10^5, 1835, 2343, 2369, 2339, 2334
10^6, 15078, 17014, 16996, 17034, 17586
10^7, 200142, 179457, 151244, 225138, 168587
10^8, 1703396, 1947705, 2097090, 1858184, 1592866
10^9, 19731505, 19570984, 19239716, 19756756, 19084827
10^10, 192179479, 193882544, 190497287, 192874675, 195533761
10^11, TIMED OUT
10^12, TIMED OUT
