	, 1	, 2	, 3	, 4	, 5
10^2, 2.800000, 3.400000, 3.160000, 3.280000, 3.040000
10^3, 3.228000, 3.208000, 3.208000, 3.204000, 3.160000
10^4, 3.152800, 3.158800, 3.145600, 3.128800, 3.106800
10^5, 3.146320, 3.141160, 3.136000, 3.133240, 3.142440
10^6, 3.143404, 3.138688, 3.140476, 3.142080, 3.140092
10^7, 3.141964, 3.141119, 3.140475, 3.141258, 3.141078
10^8, 3.141778, 3.141545, 3.141671, 3.141179, 3.141445
10^9, 3.141507, 3.141701, 3.141530, 3.141589, 3.141617
10^10, 3.141596, 3.141590, 3.141600, 3.141593, 3.141588
10^11, TIMED OUT
10^12, TIMED OUT
