	, 1	, 2	, 3	, 4	, 5
10^2, 10, 9, 10, 9, 10
10^3, 35, 35, 37, 36, 35
10^4, 287, 288, 288, 285, 287
10^5, 3063, 2791, 2792, 2818, 2857
10^6, 30795, 28307, 28184, 28053, 30821
10^7, 282886, 282494, 280869, 290568, 282843
10^8, 2830318, 2914815, 2834505, 2843038, 2837852
10^9, 28117168, 28033622, 28034648, 28048268, 28025265
10^10, 280500346, 280228907, 280138891, 279964573, 280303605
10^11, TIMED OUT
10^12, TIMED OUT
