	, 1	, 2	, 3	, 4	, 5
10^2, 3.520000, 2.720000, 3.680000, 3.040000, 3.520000
10^3, 3.296000, 3.264000, 3.072000, 3.040000, 3.200000
10^4, 3.164800, 3.120000, 3.142400, 3.152000, 3.140800
10^5, 3.135360, 3.147680, 3.147200, 3.145600, 3.137920
10^6, 3.146400, 3.141104, 3.137808, 3.144560, 3.136144
10^7, 3.143750, 3.141883, 3.142301, 3.142443, 3.141730
10^8, 3.141597, 3.141739, 3.142046, 3.142160, 3.142156
10^9, 3.141526, 3.141511, 3.141622, 3.141610, 3.141606
10^10, 3.141590, 3.141602, 3.141587, 3.141599, 3.141597
10^11, 3.141593, 3.141592, 3.141593, 3.141592, 3.141593
10^12, TIMED OUT
