	, 1	, 2	, 3	, 4	, 5
10^2, 3.240000, 3.200000, 3.240000, 2.920000, 2.760000
10^3, 3.136000, 3.224000, 3.228000, 2.944000, 2.968000
10^4, 3.116800, 3.061200, 3.174000, 3.143200, 3.094400
10^5, 3.150880, 3.162160, 3.155400, 3.118960, 3.147680
10^6, 3.136232, 3.144060, 3.139140, 3.141488, 3.139260
10^7, 3.142504, 3.142235, 3.141805, 3.142652, 3.140067
10^8, 3.141644, 3.141150, 3.141227, 3.141702, 3.141513
10^9, 3.141678, 3.141699, 3.141484, 3.141662, 3.141555
10^10, 3.141597, 3.141583, 3.141591, 3.141603, 3.141603
10^11, 3.141593, 3.141593, 3.141593, 3.141594, 3.141591
10^12, TIMED OUT
