	, 1	, 2	, 3	, 4	, 5
10^2, 153, 161, 167, 149, 171
10^3, 233, 200, 173, 168, 166
10^4, 322, 293, 294, 293, 295
10^5, 1774, 1640, 1667, 1644, 1658
10^6, 15318, 15302, 15402, 15533, 15347
10^7, 130398, 136801, 143131, 130657, 137871
10^8, 1468643, 1319933, 1356675, 1346917, 1331484
10^9, 13623952, 13597283, 13567071, 13568261, 13604632
10^10, 135174170, 135995421, 135535350, 135857350, 135590523
10^11, 1357282993, 1359368352, 1357791326, 1354537295, 1357221225
10^12, TIMED OUT
