	, 1	, 2	, 3	, 4	, 5
10^2, 162, 150, 151, 151, 153
10^3, 203, 144, 161, 151, 151
10^4, 361, 275, 247, 259, 256
10^5, 1480, 1338, 1339, 1334, 1336
10^6, 12216, 12376, 12368, 12713, 12341
10^7, 120271, 120090, 120436, 120003, 120377
10^8, 1195526, 1211219, 1224043, 1198886, 1196745
10^9, 11995083, 11952330, 11950297, 11965284, 11952279
10^10, 119524543, 119656347, 119993341, 119593283, 119774364
10^11, 1201008146, 1202551849, 1203193342, 1200559938, 1203574797
10^12, TIMED OUT
