	, 1	, 2	, 3	, 4	, 5
10^2, 2.800000, 2.800000, 3.280000, 3.200000, 3.320000
10^3, 3.212000, 3.168000, 3.092000, 3.172000, 3.104000
10^4, 3.151200, 3.127200, 3.117200, 3.193200, 3.150000
10^5, 3.132960, 3.139480, 3.140280, 3.145040, 3.133040
10^6, 3.141212, 3.141324, 3.140128, 3.143152, 3.140292
10^7, 3.141760, 3.141450, 3.141892, 3.142508, 3.141282
10^8, 3.141704, 3.141639, 3.141605, 3.141381, 3.141768
10^9, 3.141599, 3.141566, 3.141591, 3.141578, 3.141573
10^10, 3.141594, 3.141592, 3.141595, 3.141592, 3.141594
10^11, TIMED OUT
10^12, TIMED OUT
